gender,SeniorCitizen,tenure,Contract,MonthlyCharges,TotalCharges,Churn,CustomerSegment,ChurnProba,RiskCategory
Male,0,7,Month-to-month,90.45,593.45,Yes,Medium Value,0.8654043,High Risk
Female,0,47,Two year,74.45,3510.3,No,High Value,0.009254888,Low Risk
Female,0,14,Month-to-month,50.45,765.45,No,Low Value,0.15934835,Low Risk
Female,1,20,Month-to-month,60.0,1259.35,No,Medium Value,0.3114846,Low Risk
Male,0,66,Two year,85.25,5538.35,No,High Value,0.029212939,Low Risk
Male,0,15,Month-to-month,19.45,340.85,No,Low Value,0.12311604,Low Risk
Female,0,42,Two year,20.75,844.45,No,Low Value,0.0027957456,Low Risk
Female,0,17,Month-to-month,78.9,1348.95,No,Medium Value,0.20812531,Low Risk
Male,0,37,One year,104.5,3778.0,No,High Value,0.15672013,Low Risk
Female,0,12,Month-to-month,49.4,611.65,No,Low Value,0.12935343,Low Risk
Male,0,53,One year,94.25,4867.95,Yes,High Value,0.38478202,Medium Risk
Female,0,60,Two year,25.0,1505.05,No,Medium Value,0.0027005624,Low Risk
Male,0,18,Month-to-month,25.55,467.85,No,Low Value,0.087644376,Low Risk
Male,0,1,Month-to-month,74.9,74.9,Yes,Low Value,0.90955937,High Risk
Female,0,3,Month-to-month,70.15,194.2,No,Low Value,0.50209194,Medium Risk
Female,0,9,Month-to-month,69.4,571.45,No,Medium Value,0.18204622,Low Risk
Female,0,1,Month-to-month,80.25,80.25,Yes,Low Value,0.93586093,High Risk
Male,0,56,One year,93.15,5253.95,No,High Value,0.15686493,Low Risk
Male,0,17,Month-to-month,69.0,1149.65,Yes,Low Value,0.6424752,Medium Risk
Female,0,11,Month-to-month,66.35,740.8,Yes,Medium Value,0.46877936,Medium Risk
Male,0,7,Month-to-month,69.55,521.35,No,Low Value,0.38513795,Medium Risk
Female,0,69,Two year,20.2,1412.65,No,Medium Value,0.0014474178,Low Risk
Male,0,19,Month-to-month,86.0,1532.45,Yes,Medium Value,0.39710435,Medium Risk
Female,0,3,Month-to-month,80.3,250.05,Yes,Medium Value,0.8362977,High Risk
Male,0,54,Two year,20.4,1090.6,No,Medium Value,0.023968756,Low Risk
Male,0,62,One year,23.75,1446.8,No,Medium Value,0.016214816,Low Risk
Male,0,24,Month-to-month,90.55,2282.55,Yes,Medium Value,0.65114856,High Risk
Female,0,62,Month-to-month,70.45,4300.45,No,High Value,0.03646587,Low Risk
Male,0,17,Month-to-month,65.75,1111.2,No,Medium Value,0.13886428,Low Risk
Male,0,9,Month-to-month,24.6,190.1,No,Low Value,0.17628235,Low Risk
Male,0,64,Two year,69.25,4447.75,No,High Value,0.024565797,Low Risk
Female,0,2,Month-to-month,75.9,143.35,Yes,Low Value,0.81778926,High Risk
Male,0,1,Month-to-month,45.85,45.85,Yes,Low Value,0.6986092,High Risk
Female,0,16,Month-to-month,49.95,810.2,Yes,Medium Value,0.6418118,Medium Risk
Female,0,72,Two year,24.65,1830.05,No,Medium Value,0.0023948504,Low Risk
Male,0,30,One year,90.4,2820.65,No,High Value,0.047276627,Low Risk
Female,0,49,Month-to-month,100.85,4847.35,No,High Value,0.15460339,Low Risk
Male,0,61,Two year,75.35,4729.3,No,High Value,0.011627698,Low Risk
Male,0,47,Month-to-month,87.2,4017.45,No,High Value,0.27965534,Low Risk
Male,0,20,Month-to-month,64.4,1398.6,No,Medium Value,0.06910767,Low Risk
Male,0,34,Month-to-month,78.3,2564.3,Yes,Medium Value,0.53553987,Medium Risk
Female,0,70,Two year,24.7,1685.9,No,Medium Value,0.0018421868,Low Risk
Male,0,54,One year,105.85,5826.65,No,High Value,0.14092566,Low Risk
Male,1,61,One year,98.3,6066.55,No,High Value,0.015752451,Low Risk
Male,0,3,Month-to-month,76.95,228.4,Yes,Low Value,0.8552122,High Risk
Male,0,13,One year,19.45,270.2,No,Low Value,0.009703788,Low Risk
Female,1,16,Month-to-month,96.15,1529.2,Yes,Medium Value,0.8089764,High Risk
Female,0,3,Month-to-month,58.7,168.6,No,Low Value,0.21526039,Low Risk
Male,0,25,Month-to-month,20.15,536.35,No,Low Value,0.06318581,Low Risk
Male,0,30,Month-to-month,64.5,1888.45,No,Medium Value,0.042021424,Low Risk
Female,0,21,Month-to-month,28.5,629.35,No,Low Value,0.13491563,Low Risk
Male,0,1,Month-to-month,45.3,45.3,Yes,Low Value,0.61254185,Medium Risk
Female,0,15,Month-to-month,19.4,289.3,Yes,Low Value,0.43353328,Medium Risk
Male,1,23,Month-to-month,90.45,2117.25,No,Medium Value,0.4664365,Medium Risk
Female,0,45,Month-to-month,105.15,4730.9,No,High Value,0.13093998,Low Risk
Female,0,24,One year,83.15,2033.05,No,Medium Value,0.06738381,Low Risk
Female,0,11,Month-to-month,90.15,987.95,Yes,Medium Value,0.74070144,High Risk
Male,0,1,Month-to-month,45.05,45.05,Yes,Low Value,0.5097538,Medium Risk
Female,0,56,Two year,103.2,5744.35,No,High Value,0.030308839,Low Risk
Female,0,1,Month-to-month,75.8,75.8,Yes,Low Value,0.894183,High Risk
Male,0,1,Month-to-month,19.45,19.45,No,Low Value,0.26926246,Low Risk
Female,0,7,Month-to-month,79.3,523.15,Yes,Medium Value,0.73641694,High Risk
Female,1,55,Two year,88.8,4805.3,No,High Value,0.024667455,Low Risk
Female,0,2,Month-to-month,30.9,59.05,Yes,Low Value,0.6680743,High Risk
Female,0,72,Two year,85.9,6110.75,No,High Value,0.001025229,Low Risk
Female,1,45,One year,34.2,1596.6,No,Medium Value,0.06774459,Low Risk
Female,0,47,Two year,20.15,1046.2,No,Low Value,0.008451663,Low Risk
Female,1,46,One year,95.25,4424.2,Yes,High Value,0.24827269,Low Risk
Male,0,2,Month-to-month,50.3,92.75,No,Low Value,0.5244977,Medium Risk
Female,0,2,Month-to-month,80.15,194.55,No,Medium Value,0.4106006,Medium Risk
Female,0,12,Month-to-month,51.25,612.1,No,Low Value,0.108330645,Low Risk
Female,1,68,Month-to-month,89.6,6127.6,Yes,High Value,0.46483234,Medium Risk
Male,0,69,Two year,95.2,6671.7,No,High Value,0.0365187,Low Risk
Male,1,56,One year,94.8,5264.3,No,High Value,0.13019465,Low Risk
Female,1,4,Month-to-month,80.25,303.7,No,Medium Value,0.37057924,Medium Risk
Male,0,64,Two year,76.1,4818.8,No,High Value,0.046380706,Low Risk
Male,0,59,One year,110.15,6448.05,Yes,High Value,0.49072844,Medium Risk
Male,0,62,Two year,115.55,7159.05,No,High Value,0.033466853,Low Risk
Male,0,63,Two year,24.65,1574.5,No,Medium Value,0.0018680824,Low Risk
Female,0,53,One year,53.6,2879.2,No,High Value,0.120800264,Low Risk
Male,0,5,Month-to-month,19.45,86.05,No,Low Value,0.05427212,Low Risk
Male,1,49,Month-to-month,88.2,4159.45,No,High Value,0.2153388,Low Risk
Female,0,62,Two year,101.15,6638.35,No,High Value,0.06786342,Low Risk
Female,0,55,Two year,56.8,3112.05,No,Medium Value,0.0066888165,Low Risk
Female,1,71,Two year,99.4,7168.25,No,High Value,0.003535125,Low Risk
Female,0,72,Two year,20.1,1326.25,No,Medium Value,0.0018366834,Low Risk
Male,0,36,One year,60.7,2234.55,No,Medium Value,0.05088536,Low Risk
Male,0,25,One year,20.95,495.15,No,Low Value,0.017963443,Low Risk
Female,1,72,Two year,114.85,8317.95,No,High Value,0.0058536557,Low Risk
Female,0,36,One year,19.25,679.8,No,Low Value,0.011454102,Low Risk
Male,0,1,Month-to-month,62.8,62.8,No,Low Value,0.49162275,Medium Risk
Female,0,72,Two year,105.5,7544.0,No,High Value,0.022694526,Low Risk
Male,0,59,Two year,19.85,1188.25,No,Low Value,0.01367965,Low Risk
Male,1,7,Month-to-month,89.5,676.7,Yes,Medium Value,0.7045593,High Risk
Female,0,1,One year,74.1,74.1,No,Medium Value,0.090422116,Low Risk
Female,0,30,Month-to-month,107.5,3242.5,No,High Value,0.18942206,Low Risk
Male,0,64,Two year,19.55,1240.15,No,Medium Value,0.01422169,Low Risk
Male,0,63,One year,68.8,4111.35,No,High Value,0.014489274,Low Risk
Male,1,72,Two year,84.45,5899.85,No,High Value,0.0033710343,Low Risk
Male,0,8,Month-to-month,75.0,632.95,Yes,Medium Value,0.45997235,Medium Risk
Female,0,62,Two year,84.5,5193.2,No,High Value,0.004930194,Low Risk
Male,0,67,Two year,111.2,7530.8,No,High Value,0.12445909,Low Risk
Male,0,6,Month-to-month,44.75,270.95,Yes,Low Value,0.4946223,Medium Risk
Female,0,70,Two year,80.6,5460.2,No,High Value,0.04582247,Low Risk
Female,1,20,Month-to-month,80.7,1614.2,No,Medium Value,0.20198011,Low Risk
Female,0,5,Month-to-month,75.6,402.5,No,Low Value,0.61619854,Medium Risk
Female,0,24,One year,57.6,1367.75,No,Medium Value,0.13644718,Low Risk
Female,0,11,Month-to-month,44.05,483.7,Yes,Low Value,0.49568528,Medium Risk
Male,0,72,Two year,110.6,7962.2,No,High Value,0.0075210137,Low Risk
Female,0,66,Two year,58.2,3810.8,No,High Value,0.005987824,Low Risk
Female,0,45,Two year,81.0,3533.6,No,High Value,0.0065318155,Low Risk
Female,0,69,Two year,19.7,1396.9,No,Medium Value,0.004554414,Low Risk
Male,1,15,Month-to-month,85.6,1345.55,Yes,Medium Value,0.7220512,High Risk
Female,0,28,Month-to-month,59.55,1646.45,No,Medium Value,0.06076623,Low Risk
Female,0,70,One year,115.55,8127.6,Yes,High Value,0.5804155,Medium Risk
Female,0,36,One year,75.55,2680.15,No,High Value,0.05711926,Low Risk
Male,1,16,Month-to-month,86.6,1281.0,Yes,Medium Value,0.79808396,High Risk
Female,0,18,Month-to-month,85.2,1553.9,Yes,Medium Value,0.56550545,Medium Risk
Female,0,34,Month-to-month,97.65,3207.55,Yes,High Value,0.815875,High Risk
Male,0,42,One year,45.1,2049.05,No,Medium Value,0.13863936,Low Risk
Male,0,48,One year,70.95,3629.2,No,High Value,0.026142493,Low Risk
Male,0,47,Month-to-month,109.55,5124.55,Yes,High Value,0.7295902,High Risk
Female,0,39,One year,89.55,3474.45,Yes,High Value,0.4767673,Medium Risk
Female,0,11,Two year,20.9,202.3,No,Low Value,0.011121673,Low Risk
Male,0,7,Month-to-month,19.95,147.5,No,Low Value,0.06337499,Low Risk
Female,0,3,Month-to-month,24.6,86.35,No,Low Value,0.09474565,Low Risk
Male,0,8,Month-to-month,66.7,579.0,No,Medium Value,0.16857706,Low Risk
Male,0,1,Month-to-month,19.45,19.45,Yes,Low Value,0.47898203,Medium Risk
Male,0,32,One year,94.8,3131.55,No,High Value,0.035446204,Low Risk
Male,0,60,One year,65.85,3928.3,No,High Value,0.01115659,Low Risk
Female,0,10,Month-to-month,19.95,187.75,No,Low Value,0.1256024,Low Risk
Female,0,71,Two year,24.65,1710.15,No,Medium Value,0.002014834,Low Risk
Female,0,4,Month-to-month,20.35,76.35,Yes,Low Value,0.18827738,Low Risk
Female,1,1,Month-to-month,69.25,69.25,Yes,Low Value,0.9624093,High Risk
Female,0,43,One year,51.25,2151.6,No,Medium Value,0.04248997,Low Risk
Male,0,59,One year,99.5,5961.1,Yes,High Value,0.5916942,Medium Risk
Female,0,23,Month-to-month,54.25,1221.55,No,Medium Value,0.087084316,Low Risk
Female,0,72,Two year,19.4,1496.45,No,Medium Value,0.009224759,Low Risk
Male,0,22,One year,56.25,1292.2,No,Medium Value,0.059092537,Low Risk
Female,0,1,Month-to-month,25.15,25.15,No,Low Value,0.5440964,Medium Risk
Male,0,69,Two year,23.95,1713.1,No,Medium Value,0.0033674238,Low Risk
Male,0,50,One year,35.4,1748.9,No,Medium Value,0.006241265,Low Risk
Female,1,1,Month-to-month,25.2,25.2,Yes,Low Value,0.88729,High Risk
Male,0,2,Month-to-month,45.0,96.45,Yes,Low Value,0.4643084,Medium Risk
Female,0,15,Month-to-month,75.35,1114.55,No,Medium Value,0.20430629,Low Risk
Male,0,31,Two year,20.4,609.1,No,Low Value,0.0044477335,Low Risk
Male,0,1,Month-to-month,20.15,20.15,Yes,Low Value,0.5722577,Medium Risk
Male,0,66,Month-to-month,105.0,7133.25,Yes,High Value,0.79454845,High Risk
Female,0,0,Two year,56.05,56.05,No,Low Value,0.023065813,Low Risk
Male,0,3,Month-to-month,54.7,169.45,Yes,Low Value,0.6119533,Medium Risk
Female,0,8,Two year,20.0,141.6,No,Low Value,0.010890066,Low Risk
Male,0,64,One year,73.05,4688.65,No,High Value,0.40578216,Medium Risk
Female,0,28,Month-to-month,20.5,563.05,No,Low Value,0.00790268,Low Risk
Female,0,57,One year,100.75,5985.0,No,High Value,0.5976089,Medium Risk
Female,0,14,Month-to-month,87.25,1258.6,Yes,Medium Value,0.61606985,Medium Risk
Male,0,19,Two year,19.95,373.5,No,Low Value,0.006523646,Low Risk
Male,0,10,Month-to-month,79.95,857.2,Yes,Medium Value,0.7399846,High Risk
Female,0,51,Month-to-month,49.65,2553.35,No,Medium Value,0.20173955,Low Risk
Female,0,67,Two year,65.65,4322.85,No,High Value,0.0040564123,Low Risk
Male,0,11,Month-to-month,20.45,250.8,No,Low Value,0.06543359,Low Risk
Male,0,72,Two year,60.95,4549.05,No,High Value,0.0045582186,Low Risk
Male,0,66,One year,20.35,1359.5,No,Medium Value,0.008327045,Low Risk
Female,0,18,Month-to-month,88.35,1639.3,Yes,Medium Value,0.67848945,High Risk
Female,0,9,Month-to-month,19.5,178.85,No,Low Value,0.12087998,Low Risk
Female,0,9,Month-to-month,75.2,633.85,No,Low Value,0.46925905,Medium Risk
Male,0,48,Month-to-month,111.45,5315.1,No,High Value,0.25239056,Low Risk
Male,0,10,Month-to-month,70.15,735.5,No,Low Value,0.28758776,Low Risk
Female,0,9,Month-to-month,94.75,889.9,Yes,Medium Value,0.88442665,High Risk
Female,1,13,Month-to-month,95.05,1290.0,Yes,Medium Value,0.88678414,High Risk
Male,0,4,Month-to-month,78.45,330.05,Yes,Medium Value,0.5981887,Medium Risk
Male,0,4,Month-to-month,70.2,237.95,Yes,Low Value,0.52919555,Medium Risk
Female,0,72,Two year,92.0,6474.4,No,High Value,0.0014533859,Low Risk
Female,0,51,Two year,85.5,4421.95,No,High Value,0.0058266763,Low Risk
Male,0,59,Month-to-month,41.05,2452.7,Yes,Medium Value,0.5240018,Medium Risk
Male,0,10,Month-to-month,85.6,813.85,Yes,Medium Value,0.8738708,High Risk
Male,1,61,Month-to-month,82.15,4904.85,No,High Value,0.18660814,Low Risk
Male,0,54,One year,84.4,4484.05,No,High Value,0.02931078,Low Risk
Female,0,33,Month-to-month,60.9,2033.85,No,Medium Value,0.04264343,Low Risk
Female,0,27,Two year,20.25,538.2,No,Low Value,0.0040606447,Low Risk
Female,1,1,Month-to-month,79.2,79.2,Yes,Low Value,0.9634041,High Risk
Male,0,23,Month-to-month,95.3,2192.9,No,High Value,0.19828618,Low Risk
Male,0,1,Month-to-month,19.85,19.85,No,Low Value,0.397494,Medium Risk
Male,0,45,Two year,84.35,3858.05,No,High Value,0.014887792,Low Risk
Female,0,39,Two year,19.85,854.8,No,Low Value,0.008497439,Low Risk
Male,0,5,One year,70.0,347.4,Yes,Medium Value,0.50031507,Medium Risk
Male,0,72,Two year,82.3,5815.15,No,High Value,0.0013940783,Low Risk
Female,0,58,Month-to-month,66.8,3970.4,No,Medium Value,0.043942753,Low Risk
Female,0,70,Two year,44.6,3058.15,No,High Value,0.0048447177,Low Risk
Male,0,61,One year,98.45,6145.2,No,High Value,0.058088817,Low Risk
Male,0,2,Month-to-month,70.7,129.2,No,Low Value,0.57213354,Medium Risk
Female,0,46,One year,24.95,1165.9,No,Low Value,0.011377096,Low Risk
Female,0,1,Month-to-month,49.95,49.95,Yes,Low Value,0.44315034,Medium Risk
Female,0,22,Month-to-month,69.25,1554.0,Yes,Medium Value,0.60656387,Medium Risk
Female,0,48,Two year,102.5,4904.25,No,High Value,0.037843592,Low Risk
Male,0,64,Two year,86.55,5632.55,No,High Value,0.0054126033,Low Risk
Male,0,72,Two year,24.3,1643.25,No,Medium Value,0.0017876354,Low Risk
Female,0,12,Month-to-month,58.35,740.55,No,Medium Value,0.21621294,Low Risk
Female,1,34,Month-to-month,94.25,3217.55,Yes,High Value,0.329687,Low Risk
Female,0,72,Two year,68.75,4888.2,No,High Value,0.0047968696,Low Risk
Male,0,29,Month-to-month,85.8,2440.25,No,Medium Value,0.43027595,Medium Risk
Male,0,33,One year,20.1,620.55,No,Low Value,0.0076277726,Low Risk
Female,0,1,Month-to-month,20.35,20.35,No,Low Value,0.2018284,Low Risk
Female,0,62,One year,110.8,6840.95,No,High Value,0.021554723,Low Risk
Male,0,41,One year,73.0,3001.2,Yes,Medium Value,0.2947762,Low Risk
Female,0,64,One year,100.05,6254.2,Yes,High Value,0.41981453,Medium Risk
Female,0,4,Month-to-month,82.85,319.6,No,Medium Value,0.55321956,Medium Risk
Female,0,24,Month-to-month,84.35,1938.05,No,Medium Value,0.46381232,Medium Risk
Female,0,14,One year,19.55,294.5,No,Low Value,0.01423199,Low Risk
Male,0,3,Month-to-month,19.95,58.3,No,Low Value,0.0626786,Low Risk
Female,1,4,Month-to-month,99.8,442.85,Yes,Medium Value,0.85842526,High Risk
Female,0,18,Month-to-month,35.0,553.0,Yes,Low Value,0.48088005,Medium Risk
Male,0,8,Month-to-month,66.25,546.45,No,Medium Value,0.31794026,Low Risk
Female,0,35,Two year,23.3,797.1,No,Low Value,0.027073698,Low Risk
Female,0,1,Month-to-month,76.0,76.0,Yes,Low Value,0.93377286,High Risk
Male,0,66,Two year,25.3,1673.8,No,Medium Value,0.0029406925,Low Risk
Male,0,8,Two year,44.55,343.45,No,Low Value,0.009693684,Low Risk
Female,0,71,One year,104.1,7412.25,No,High Value,0.038005836,Low Risk
Female,0,43,Month-to-month,92.55,4039.0,No,High Value,0.2340701,Low Risk
Female,1,2,Month-to-month,93.85,170.85,Yes,Medium Value,0.92935675,High Risk
Male,1,29,Month-to-month,101.45,2948.6,No,High Value,0.2958213,Low Risk
Female,0,15,Month-to-month,84.3,1308.4,Yes,Medium Value,0.5375024,Medium Risk
Male,0,65,Two year,94.55,6078.75,No,High Value,0.09107902,Low Risk
Male,0,35,Month-to-month,95.5,3418.2,No,High Value,0.093188725,Low Risk
Male,0,64,One year,100.3,6603.8,No,High Value,0.079975925,Low Risk
Female,0,58,Two year,55.5,3166.9,No,High Value,0.008059239,Low Risk
Female,1,18,Month-to-month,49.85,865.75,No,Low Value,0.1856955,Low Risk
Male,0,67,Month-to-month,89.55,6373.1,No,High Value,0.15803404,Low Risk
Male,0,63,Two year,19.15,1177.05,No,Low Value,0.011381602,Low Risk
Female,0,60,Month-to-month,99.8,5985.75,No,High Value,0.339523,Low Risk
Male,1,9,Month-to-month,84.4,732.5,Yes,Medium Value,0.74382657,High Risk
Female,0,70,Two year,113.05,7869.05,No,High Value,0.027262975,Low Risk
Male,0,15,Month-to-month,101.1,1504.05,Yes,High Value,0.7875786,High Risk
Female,0,48,One year,19.95,936.7,No,Low Value,0.0066266926,Low Risk
Male,0,12,Month-to-month,74.15,741.4,No,Medium Value,0.24836332,Low Risk
Male,1,71,One year,92.0,6585.2,No,High Value,0.026957482,Low Risk
Male,1,44,Month-to-month,73.85,3122.4,No,Medium Value,0.27762434,Low Risk
Male,0,1,Month-to-month,50.45,50.45,Yes,Low Value,0.66893154,High Risk
Male,0,45,Two year,24.45,1088.25,No,Low Value,0.0147012165,Low Risk
Female,0,23,One year,24.8,615.35,No,Low Value,0.07283016,Low Risk
Female,0,43,One year,64.85,2908.2,No,Medium Value,0.07409618,Low Risk
Male,0,35,Month-to-month,20.75,739.9,No,Low Value,0.03288855,Low Risk
Male,0,9,Month-to-month,68.95,593.85,No,Medium Value,0.06767049,Low Risk
Male,0,12,Month-to-month,99.95,1132.75,Yes,Medium Value,0.91345966,High Risk
Female,1,65,Month-to-month,109.4,7227.45,No,High Value,0.029590553,Low Risk
Female,0,2,Month-to-month,91.4,193.6,Yes,Medium Value,0.9084191,High Risk
Male,0,27,Month-to-month,49.0,1291.35,No,Low Value,0.038616065,Low Risk
Female,0,40,One year,50.25,2023.55,No,Medium Value,0.03094726,Low Risk
Female,1,5,Month-to-month,75.55,349.65,Yes,Medium Value,0.48906994,Medium Risk
Male,0,8,One year,19.9,153.95,No,Low Value,0.0320786,Low Risk
Female,1,58,One year,97.8,5458.8,No,High Value,0.3092926,Low Risk
Female,0,52,One year,100.3,5244.45,No,High Value,0.05509734,Low Risk
Male,0,3,Month-to-month,55.8,154.55,No,Low Value,0.44073588,Medium Risk
Male,0,41,Two year,111.15,4507.15,No,High Value,0.17335501,Low Risk
Male,0,20,Month-to-month,98.55,2031.95,No,High Value,0.47493663,Medium Risk
Male,0,1,Month-to-month,50.05,50.05,No,Low Value,0.42505538,Medium Risk
Male,0,4,Month-to-month,80.8,332.45,Yes,Medium Value,0.74399155,High Risk
Male,0,23,Month-to-month,20.85,473.9,No,Low Value,0.030974034,Low Risk
Female,1,6,Month-to-month,19.5,106.8,No,Low Value,0.14090559,Low Risk
Male,0,8,Month-to-month,19.35,152.6,No,Low Value,0.08691009,Low Risk
Male,0,18,Month-to-month,69.5,1199.4,No,Medium Value,0.062185064,Low Risk
Male,1,52,Month-to-month,48.8,2555.05,No,Medium Value,0.12047031,Low Risk
Male,0,31,Month-to-month,94.5,2979.2,No,High Value,0.23544997,Low Risk
Male,0,29,Month-to-month,20.65,654.85,No,Low Value,0.042097013,Low Risk
Female,0,36,Two year,106.05,3834.4,No,High Value,0.03711466,Low Risk
Female,0,16,Month-to-month,100.0,1534.75,Yes,High Value,0.8578067,High Risk
Male,0,42,One year,108.3,4586.15,No,High Value,0.44034502,Medium Risk
Male,0,1,Month-to-month,20.55,20.55,Yes,Low Value,0.24635962,Low Risk
Female,0,60,Two year,99.65,5941.05,No,High Value,0.052415766,Low Risk
Male,0,5,Month-to-month,85.3,424.15,Yes,Medium Value,0.8531484,High Risk
Male,0,22,Month-to-month,95.9,2234.95,No,High Value,0.32253426,Low Risk
Male,0,36,One year,20.0,666.75,No,Low Value,0.0057066213,Low Risk
Female,0,4,Month-to-month,70.4,281.0,Yes,Low Value,0.54060245,Medium Risk
Male,0,9,Month-to-month,64.95,547.8,No,Medium Value,0.072936475,Low Risk
Male,0,1,Month-to-month,74.6,74.6,No,Low Value,0.3185017,Low Risk
Male,0,12,Month-to-month,49.2,571.15,No,Low Value,0.1885933,Low Risk
Female,0,23,One year,73.75,1756.6,No,Medium Value,0.057371233,Low Risk
Male,0,62,One year,92.3,5731.45,No,High Value,0.071636535,Low Risk
Male,0,37,Month-to-month,98.8,3475.55,Yes,High Value,0.4167383,Medium Risk
Female,0,8,Month-to-month,19.2,156.85,No,Low Value,0.029282065,Low Risk
Male,0,31,Month-to-month,88.65,2683.2,No,Medium Value,0.30582482,Low Risk
Male,0,13,Month-to-month,74.4,896.75,Yes,Medium Value,0.41562742,Medium Risk
Female,0,24,Month-to-month,98.75,2407.3,Yes,High Value,0.80065364,High Risk
Male,0,45,Month-to-month,95.95,4456.65,No,High Value,0.21590133,Low Risk
Female,1,69,Two year,105.4,6998.95,No,High Value,0.029357104,Low Risk
Male,0,2,Month-to-month,20.25,36.8,No,Low Value,0.09613337,Low Risk
Male,0,61,One year,106.0,6547.7,Yes,High Value,0.057088707,Low Risk
Male,0,41,Month-to-month,104.7,4346.4,Yes,High Value,0.82233614,High Risk
Female,0,44,One year,49.05,2265.0,No,Medium Value,0.14976807,Low Risk
Male,0,39,One year,35.55,1309.15,No,Medium Value,0.03411028,Low Risk
Male,0,72,Two year,65.1,4754.3,No,High Value,0.0030114441,Low Risk
Female,1,13,Month-to-month,96.85,1235.55,No,Medium Value,0.5183378,Medium Risk
Female,0,51,One year,69.75,3562.5,No,High Value,0.031220192,Low Risk
Female,1,71,Two year,99.2,7213.75,No,High Value,0.03280987,Low Risk
Male,1,22,Month-to-month,96.7,2082.95,Yes,High Value,0.8081806,High Risk
Female,0,2,Month-to-month,55.05,102.75,Yes,Low Value,0.6917699,High Risk
Female,0,56,One year,106.8,5914.4,No,High Value,0.30573052,Low Risk
Male,0,1,Month-to-month,51.25,51.25,No,Low Value,0.42708895,Medium Risk
Female,0,23,One year,57.75,1282.85,No,Medium Value,0.028392933,Low Risk
Female,1,66,One year,70.85,4738.85,No,High Value,0.046494473,Low Risk
Female,0,1,Month-to-month,19.55,19.55,No,Low Value,0.29499114,Low Risk
Male,1,19,Month-to-month,88.2,1775.8,Yes,Medium Value,0.7067447,High Risk
Male,0,11,Month-to-month,79.5,795.65,No,Medium Value,0.20652367,Low Risk
Female,0,8,One year,19.75,145.0,Yes,Low Value,0.12731339,Low Risk
Female,0,52,Month-to-month,98.15,4993.4,No,High Value,0.07512889,Low Risk
Male,0,3,Month-to-month,20.25,61.45,No,Low Value,0.18751143,Low Risk
Female,0,51,Month-to-month,79.15,4018.55,No,High Value,0.11363376,Low Risk
Male,1,15,Month-to-month,75.65,1146.65,Yes,Medium Value,0.67335147,High Risk
Male,1,64,Month-to-month,94.25,6081.4,No,High Value,0.13743305,Low Risk
Female,0,37,Month-to-month,40.2,1478.85,No,Medium Value,0.09756577,Low Risk
Male,0,13,Two year,19.95,243.65,No,Low Value,0.009385535,Low Risk
Male,0,49,One year,55.35,2633.95,No,Medium Value,0.081859306,Low Risk
Female,1,45,One year,102.15,4735.35,No,High Value,0.23939009,Low Risk
Female,0,18,Month-to-month,71.1,1247.75,No,Medium Value,0.3320814,Low Risk
Male,1,1,Month-to-month,74.7,74.7,Yes,Low Value,0.91852766,High Risk
Male,0,68,Two year,54.1,3794.5,No,High Value,0.017410764,Low Risk
Male,0,54,Two year,19.65,1008.7,No,Low Value,0.035241224,Low Risk
Female,1,23,Month-to-month,88.45,2130.55,No,Medium Value,0.23781958,Low Risk
Male,0,17,Month-to-month,76.65,1313.55,Yes,Medium Value,0.3847947,Medium Risk
Male,0,71,Two year,80.4,5727.15,No,High Value,0.0019467525,Low Risk
Female,0,67,Two year,19.25,1372.9,No,Medium Value,0.0035667752,Low Risk
Female,0,14,Month-to-month,84.8,1203.9,No,Medium Value,0.54665303,Medium Risk
Female,1,1,Month-to-month,25.8,25.8,Yes,Low Value,0.8674778,High Risk
Female,0,63,Two year,19.5,1215.1,No,Low Value,0.005530898,Low Risk
Female,0,41,One year,68.6,2877.05,No,Medium Value,0.11362564,Low Risk
Female,0,17,Month-to-month,92.6,1579.7,No,Medium Value,0.30031773,Low Risk
Male,0,56,One year,100.55,5514.95,No,High Value,0.30360702,Low Risk
Female,0,5,Month-to-month,20.55,96.1,No,Low Value,0.061208747,Low Risk
Female,0,2,Month-to-month,42.6,72.4,Yes,Low Value,0.79877204,High Risk
Female,0,3,Month-to-month,19.6,55.25,No,Low Value,0.105710216,Low Risk
Male,0,37,One year,67.45,2443.3,No,Medium Value,0.036560707,Low Risk
Female,0,29,Month-to-month,68.85,1970.5,Yes,Medium Value,0.17574866,Low Risk
Male,0,8,Month-to-month,43.55,335.4,No,Low Value,0.20997553,Low Risk
Female,0,63,Month-to-month,109.85,7002.95,No,High Value,0.07787057,Low Risk
Female,0,7,Month-to-month,20.65,158.95,No,Low Value,0.03905272,Low Risk
Female,0,3,Month-to-month,95.4,293.15,No,Medium Value,0.53443897,Medium Risk
Male,0,72,Two year,21.0,1493.75,No,Medium Value,0.0019875907,Low Risk
Female,0,19,Month-to-month,56.2,1093.4,No,Medium Value,0.42463583,Medium Risk
Female,0,59,Two year,18.4,1057.85,No,Low Value,0.0183195,Low Risk
Male,0,2,Month-to-month,90.0,190.05,Yes,Medium Value,0.7407574,High Risk
Female,0,35,Month-to-month,25.75,882.55,No,Low Value,0.038746674,Low Risk
Male,0,14,Month-to-month,19.6,300.4,No,Low Value,0.039429888,Low Risk
